Source,Target,Type,timestamp
0,1,directed,2023-04-08T00:00:00.040000+05:30
1,2,directed,2023-04-08T00:00:03.980000+05:30
1,3,directed,2023-04-08T00:00:03.980000+05:30
2,4,directed,2023-04-08T00:00:04.490000+05:30
2,5,directed,2023-04-08T00:00:04.490000+05:30
4,6,directed,2023-04-08T00:00:04.520000+05:30
4,7,directed,2023-04-08T00:00:04.520000+05:30
6,8,directed,2023-04-08T00:00:04.530000+05:30
6,9,directed,2023-04-08T00:00:04.530000+05:30
8,10,directed,2023-04-08T00:00:04.570000+05:30
8,11,directed,2023-04-08T00:00:04.570000+05:30
10,12,directed,2023-04-08T00:00:04.580000+05:30
10,13,directed,2023-04-08T00:00:04.580000+05:30
12,14,directed,2023-04-08T00:00:04.600000+05:30
12,15,directed,2023-04-08T00:00:04.600000+05:30
14,16,directed,2023-04-08T00:00:04.620000+05:30
14,17,directed,2023-04-08T00:00:04.620000+05:30
16,18,directed,2023-04-08T00:00:04.630000+05:30
16,19,directed,2023-04-08T00:00:04.630000+05:30
18,20,directed,2023-04-08T00:00:04.640000+05:30
18,21,directed,2023-04-08T00:00:04.640000+05:30
15,22,directed,2023-04-08T00:00:04.750000+05:30
15,23,directed,2023-04-08T00:00:04.750000+05:30
